EavesdropperID,X,Y,MxZID
88,1585.83,4320.94,49
106,1724.09,3092.91,36
132,1887.2,4026.68,92
133,1890.53,5397.99,89
159,2148.39,4265.02,70
194,2678.18,1899.49,33
196,2686.65,5705.14,42
231,3141.86,3993.86,78
247,3274.31,3716.16,34
255,3311.92,9480.64,59
283,3420.05,4736.9,94
308,3540.12,5045.27,17
329,3629.54,2760.36,71
354,3772.79,9339.31,67
367,3888.82,6964.23,52
388,4054.28,7640.24,8
409,4148.38,6564.94,86
411,4168.67,3427.35,43
412,4175.85,4204.33,79
422,4331.35,5653.63,19
436,4462.31,3525.82,15
479,4844.24,3944.43,60
483,4879.23,3388.66,74
488,4908.79,5075.94,98
532,5053.19,4795.39,50
557,5156.55,5342.29,81
564,5201.96,3711.06,27
603,5354.68,5903.51,99
620,5415.52,4447.0,46
621,5417.55,2654.01,57
625,5426.37,6216.87,47
646,5523.53,4991.34,2
683,5651.71,2936.25,82
691,5686.65,8120.67,20
697,5723.06,6446.68,30
748,6021.26,5300.82,72
750,6023.04,4207.06,61
773,6123.99,7241.64,53
784,6169.93,3812.64,11
795,6193.32,3459.89,76
821,6272.9,6755.27,7
833,6297.82,2653.57,58
882,6421.56,4688.33,1
887,6443.86,5736.87,66
947,6586.28,6745.08,4
966,6646.23,2958.0,56
983,6685.19,1339.31,77
1002,6746.4,8971.69,40
1018,6791.04,5237.99,5
1063,6885.72,9388.96,69
1068,6893.83,6503.14,25
1099,6967.43,4579.39,32
1150,7093.58,5592.63,10
1158,7108.56,2770.77,41
1190,7202.21,4999.69,16
1271,7403.53,7337.74,51
1283,7440.69,5432.43,18
1290,7456.68,8569.89,85
1309,7524.17,6092.05,12
1337,7628.76,2592.22,24
1398,7771.15,7535.66,22
1456,7893.62,6648.73,44
1474,7923.88,6023.75,14
1481,7935.18,5569.05,35
1501,7982.63,2683.38,90
1503,7984.48,1970.84,83
1542,8059.87,5208.62,9
1545,8064.51,1572.31,55
1580,8151.55,3247.69,93
1595,8179.94,4474.7,96
1646,8268.81,7506.86,62
1648,8277.61,9856.04,95
1717,8422.16,8024.19,37
1740,8472.61,6993.64,31
1749,8509.85,5418.04,29
1762,8546.94,11482.0,3
1775,8584.2,2567.93,84
1780,8612.38,4939.84,80
1785,8617.38,9608.29,39
1789,8630.52,5840.14,13
1808,8695.09,8997.84,0
1851,8858.91,2380.56,91
1883,9154.07,10445.4,75
1894,9280.14,4091.02,21
1908,9347.23,9686.88,6
1927,9457.73,8889.29,26
1939,9511.06,9296.69,28
1940,9527.59,3214.69,68
1962,9616.56,4281.5,38
2040,9963.96,1977.66,23
2054,10018.34,2638.81,54
2095,10184.26,1741.2,65
2131,10322.67,3324.95,88
2139,10361.35,10785.84,87
2141,10370.6,7032.76,64
2145,10379.4,7412.96,45
2159,10495.68,3704.24,63
2165,10536.8,2415.28,48
2216,10847.06,4194.67,73
2247,12321.45,2898.78,97
